id,task,task_type,status,depends_on,task_dir,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Provider storage schema and domain types,single-full,DONE,,tasks/01-provider-storage,Provider tables/entities/types compile and model provider binding remains explicit,just check,2026-05-11,0,
2,Provider admin backend API,single-full,DONE,1,tasks/02-provider-api,CRUD routes compile and are registered,just check,2026-05-11,0,
3,Billing group provider binding,single-full,DONE,1,tasks/03-group-provider-binding,Groups expose allowed_provider_ids and persist bindings,just check,2026-05-11,0,
4,Provider admin frontend UI,single-full,DONE,2;3,tasks/04-provider-frontend,Provider management page builds and uses backend i18n,pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
5,API format registry and conversation conversion,single-full,DONE,1,tasks/05-format-conversion,OpenAI/Gemini/Claude request response and stream conversion tests pass,timeout 60 cargo test -p proxy format_conversion,2026-05-11,0,Local shell lacks timeout; cargo test -p proxy format_conversion passed
6,Group-scoped proxy scheduler and failover,single-full,DONE,1;3;5,tasks/06-proxy-scheduler,Proxy candidate filtering sorting and failover tests pass,timeout 60 cargo test -p proxy,2026-05-11,0,Local shell lacks timeout; cargo test -p proxy and just check passed
7,Request candidate audit and observability,single-full,DONE,6,tasks/07-request-candidates,Attempt records are persisted for success failure and no-candidate cases,timeout 60 cargo test -p proxy request_candidate,2026-05-11,0,Local shell lacks timeout; cargo test -p proxy request_candidate and cargo test -p storage request_candidate passed
8,Full validation pass,single-full,DONE,2;4;6;7,tasks/08-validation,Backend checks and frontend lint/build pass,just check && pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,All commands passed; frontend build logs existing Axios unauthorized message with exit 0
9,Provider type dropdown alignment,single-full,DONE,4,tasks/09-provider-type-select,Provider type is a select with only custom available and backend validation,pnpm lint:frontend && pnpm build:frontend && just check,2026-05-11,0,Adjusted after user clarified first phase only needs providerTypeCustom
10,Provider list scheduling strategy,single-full,DONE,4;6,tasks/10-provider-list-scheduling,Priority strategy is system/list-level not provider-level,cargo test -p proxy scheduler && just check && pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
11,Provider bindings modal,single-full,DONE,4,tasks/11-provider-bindings-modal,Provider endpoint key and model binding management opens in a modal from table row click,pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
12,Request records admin UI,single-full,DONE,7,tasks/12-request-records-admin,Admin request records list supports auto refresh and drawer trace detail,cargo test -p storage request_record && just check && pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
13,Provider priority management modal,single-full,DONE,10,tasks/13-provider-priority-modal,Provider priority management opens in a modal with reorder priority editing and scheduling mode selection,pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
14,Provider details drawer,single-full,DONE,11,tasks/14-provider-details-drawer,Provider detail opens as a right drawer with invisible backdrop and animated open close,pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
15,Provider filters toolbar alignment,single-full,DONE,4;13,tasks/15-provider-filters-toolbar,Provider toolbar includes search status api format model filters and provider-first scheduling entry aligned with Aether,just check && pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
16,Provider endpoint dialog alignment,single-full,DONE,11,tasks/16-provider-endpoint-dialog,Endpoint add modal aligns with Aether including searchable API format select placeholders and default custom path helper,pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
17,Aether-style provider endpoint manager,single-full,DONE,16,tasks/17-provider-endpoint-manager,Endpoint manager shows configured endpoints and supports URL path status delete and header/body rewrite rules with conditions,just check && pnpm lint:frontend && pnpm build:frontend,2026-05-11,0,
