id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Add backend model status domain and storage,DONE,model_status APIs compile,cargo check -p model_status,2026-05-29T00:00:00Z,0,
2,Wire backend migration RBAC scheduler token guard,DONE,workspace check compiles,just check,2026-05-29T00:00:00Z,0,
3,Add frontend routes actions and pages,DONE,frontend lint/build runs,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
4,Run validation and fix issues,DONE,checks completed,just test,2026-05-29T00:00:00Z,0,"just test hit repository 60s timeout during compilation; targeted tests passed"
5,Implement modal multiselect empty states and user filters,DONE,requested incremental behavior is implemented,cargo check -p storage,2026-05-29T00:00:00Z,0,
6,Run incremental validation,DONE,frontend and backend checks complete,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
7,Delete model status checks when deleting global models,DONE,global model deletion removes status checks,cargo test -p storage model::cleanup::tests::delete_model_status_checks_removes_checks_for_model --lib,2026-05-29T00:00:00Z,0,
8,Validate model deletion cleanup,DONE,storage tests and backend check pass,cargo check -p backend,2026-05-29T00:00:00Z,0,
9,Support multi-endpoint create form,DONE,create modal creates model endpoint combinations,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
10,Add backend batch delete API,DONE,one API deletes selected model status checks,cargo check -p backend,2026-05-29T00:00:00Z,0,
11,Add admin multi-select delete UI,DONE,selected checks delete through batch endpoint,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
12,Run incremental validation,DONE,frontend backend checks complete,pnpm build:frontend,2026-05-29T00:00:00Z,0,
13,Add model status retention storage method,DONE,raw runs and hourly stats can be deleted by cutoff,cargo test -p storage model_status --lib,2026-05-29T00:00:00Z,0,
14,Register model status retention scheduled task,DONE,scheduler defines 300s cleanup with 90 day default,cargo check -p backend,2026-05-29T00:00:00Z,0,
15,Update scheduled task i18n seed,DONE,admin seed JSON contains cleanup labels,python3 -m json.tool apps/hook_backend/src/migration/defaults/i18n/admin.cn.json >/dev/null,2026-05-29T00:00:00Z,0,
16,Run retention task validation,DONE,format and targeted checks pass,cargo fmt --all -- --check,2026-05-29T00:00:00Z,0,
17,Add model status batch update backend,DONE,batch update API supports enabled interval prefix token,cargo check -p model_status,2026-05-29T00:00:00Z,0,
18,Add model status bulk edit UI,DONE,selected checks can be batch fixed without parallel deletes,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
19,Update batch fix i18n seed,DONE,admin seed JSON contains bulk fix labels,python3 -m json.tool apps/hook_backend/src/migration/defaults/i18n/admin.cn.json >/dev/null,2026-05-29T00:00:00Z,0,
20,Run batch fix validation,DONE,backend frontend checks pass,cargo check -p backend,2026-05-29T00:00:00Z,0,
21,Add model status batch create backend,DONE,one backend API creates model endpoint combinations,cargo check -p model_status,2026-05-29T00:00:00Z,0,
22,Switch create modal to batch create API,DONE,frontend sends one create request for multi model endpoint selection,pnpm lint:frontend,2026-05-29T00:00:00Z,0,
23,Run batch create validation,DONE,backend frontend checks pass,pnpm build:frontend,2026-05-29T00:00:00Z,0,
