id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Map existing backend/frontend payment seams,DONE,"Relevant recharge wallet setting routes and UI seams inspected","rg -n \"Recharge|PaymentChannel|wallet|systemSettings\" crates apps/hook_backend apps/hook_frontend",,0,
2,Add payment crate abstractions and epay tests,DONE,"Payment crate exposes provider interfaces and epay signing/notify tests","cargo test -p payment",,0,
3,Implement Rust types storage migrations and recharge services,DONE,"Backend compiles and recharge/storage tests pass","cargo test -p payment && cargo test -p recharge && cargo test -p storage",2026-05-27 11:51:40 CST,0,
4,Wire backend routes startup settings and auth whitelist,DONE,"Epay provider registered and notify route is public","cargo check -p backend",2026-05-27 11:51:40 CST,0,
5,Implement frontend admin config and recharge launch,DONE,"Frontend type/lint/build accepts payment flow","pnpm lint:frontend && pnpm build:frontend",2026-05-27 11:51:40 CST,0,
6,Run final validation and summarize,DONE,"Repository validation commands run or failures captured","just test && pnpm lint:frontend && pnpm build:frontend",2026-05-27 11:51:40 CST,0,"just test fails in unrelated apps/hook_backend/src/llm_proxy/formats.rs::streaming_requests_do_not_route_to_force_non_stream_formats; related payment/recharge/storage/setting/frontend checks pass"
7,Add recharge captcha system setting,DONE,"System settings types storage and baseline seed expose recharge captcha switch","timeout 60 cargo test -p types && timeout 60 cargo test -p setting",2026-05-27 12:48:16 CST,0,
8,Verify recharge captcha during order creation,DONE,"Create recharge order consumes captcha token when recharge captcha is enabled","timeout 60 cargo test -p captcha && timeout 60 cargo test -p recharge",2026-05-27 12:48:16 CST,0,
9,Add frontend recharge captcha controls,DONE,"Admin recharge settings has captcha switch and wallet recharge submits captcha token","pnpm lint:frontend && pnpm build:frontend",2026-05-27 12:48:16 CST,0,
10,Run captcha validation and update notes,DONE,"Relevant validation commands run and progress log captures results","cargo fmt --all && timeout 60 cargo check -p backend",2026-05-27 12:48:16 CST,0,
11,Hide wallet recharge entry when system recharge is disabled,DONE,"Wallet center recharge button/dialog are gated by backend recharge_enabled","pnpm lint:frontend && pnpm build:frontend",2026-05-27 13:50:16 CST,0,
12,Require ready payment channel before enabling recharge,DONE,"System settings update rejects recharge_enabled=true unless an enabled saved payment channel exists","timeout 60 cargo test -p setting && timeout 60 cargo check -p backend",2026-05-27 13:50:16 CST,0,
13,Add frontend public base URL guard for enabling payment channels,DONE,"Payment channel save validates saved public_base_url and shows backend-seeded i18n messages before PATCH","pnpm lint:frontend && pnpm build:frontend && timeout 60 cargo check -p backend",2026-05-27 14:14:54 CST,0,
14,Localize wallet recharge CAPTCHA labels,DONE,"Wallet recharge modal passes admin CAPTCHA labels to cap widget and admin i18n seed contains captcha labels","pnpm lint:frontend && pnpm build:frontend && timeout 60 cargo check -p backend",2026-05-27 14:19:54 CST,0,
15,Open payment in blank window and poll user order status,DONE,"Wallet payment opens a new blank window before creating the order and refreshes wallet/orders while pending","pnpm lint:frontend && pnpm build:frontend",2026-05-27 14:34:35 CST,0,
16,Poll pending recharge orders from scheduler,DONE,"Scheduled recharge_payment_poll task queries unexpired pending orders through provider query APIs and settles paid orders","timeout 60 cargo test -p payment && timeout 60 cargo test -p recharge && timeout 60 cargo check -p backend",2026-05-27 14:34:35 CST,0,
17,Add frontend ready-channel guard before enabling recharge,DONE,"System settings save blocks recharge_enabled=true unless frontend has at least one enabled payment channel with saved secret","pnpm lint:frontend && pnpm build:frontend && timeout 60 cargo check -p backend",2026-05-27 14:50:39 CST,0,
18,Add frontend guards for remaining system settings prerequisites,DONE,"System settings save validates backend-known prerequisites and field constraints with admin i18n before PATCH","pnpm lint:frontend && pnpm build:frontend && timeout 60 cargo check -p backend",2026-05-27 15:02:52 CST,0,
19,Fix wallet payment popup navigation,DONE,"Wallet recharge opens a writable payment window and submits the provider form without staying on about:blank","pnpm lint:frontend && pnpm build:frontend",2026-05-27 15:10:33 CST,0,
20,Unify payment channel config under system settings save,DONE,"Payment channel config has no per-channel save button and top-level settings save persists changed channels safely","pnpm lint:frontend && pnpm build:frontend && git diff --check",2026-05-27 15:31:27 CST,0,
21,Settle epay return and tighten wallet payment UX,DONE,"Epay browser return can settle verified paid orders, wallet modal warns about new-tab payment, and polling only runs while recharge modal is open","pnpm lint:frontend && pnpm build:frontend && timeout 60 cargo test -p recharge && timeout 60 cargo check -p backend",2026-05-27 16:23:27 CST,0,
22,Accept trailing slash payment callbacks,DONE,"Registered payment callback routes and dynamic auth whitelist accept provider return/notify URLs with or without trailing slash","timeout 60 cargo test -p recharge trailing_slash_payment_return_route_redirects_to_wallet && timeout 60 cargo test -p backend payment_callback_rule_includes_trailing_slash_variant && timeout 60 cargo check -p backend",2026-05-27 16:50:08 CST,0,
23,Move wallet payment guidance into pending modal state,DONE,"Wallet recharge removes pre-submit warning and shows a post-order pending state with an explicit paid-check action","pnpm lint:frontend && pnpm build:frontend && git diff --check",2026-05-27 17:01:50 CST,0,
24,Ensure scheduled task list registers payment poll task,DONE,"Admin scheduled task list synchronizes missing registry tasks so recharge_payment_poll appears without waiting for runtime-only insertion","timeout 60 cargo test -p scheduler && timeout 60 cargo check -p backend && git diff --check",2026-05-27 17:08:45 CST,0,

25,Add max unpaid recharge order setting and safety audit,DONE,"System setting defaults to 5 and create order rejects users at pending-order limit with concurrency-safe storage check; payment safety risks are audited","timeout 60 cargo test -p recharge && timeout 60 cargo test -p setting && timeout 60 cargo check -p backend && pnpm lint:frontend && pnpm build:frontend && git diff --check",2026-05-27 17:47:10 CST,0,
26,Proxy frontend /api requests to backend,DONE,"Next dev/start rewrites same-origin /api requests to the backend so ngrok on the frontend can carry payment return and notify callbacks","pnpm --filter hook_frontend lint && pnpm --filter hook_frontend build && git diff --check",2026-05-27 18:08:20 CST,0,
27,Record and display payment callbacks,DONE,"Real provider notify/return callbacks are persisted and admin recharge callback tab shows records","timeout 60 cargo test -p recharge && pnpm lint:frontend && pnpm build:frontend && git diff --check",2026-05-27 18:45:00 CST,0,
