id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Update forgot-password UI,DONE,Forgot-password view uses split reset template structure while preserving requestPasswordReset flow,rg -n "PasswordIcon|requestPasswordReset" apps/hook_frontend/src/auth/view/jwt/jwt-forgot-password-view.tsx,2026-06-01 14:42:56 +0800,0,
2,Update profile password form,DONE,Profile password card uses hook-form code/password confirmation fields while preserving account password APIs,rg -n "ProfilePasswordCard|changeAccountPassword|Field.Code" apps/hook_frontend/src/sections/profile,2026-06-01 14:42:56 +0800,0,
3,Run frontend validation,DONE,Frontend lint and build complete,pnpm lint:frontend && pnpm build:frontend,2026-06-01 14:42:56 +0800,0,
4,Move profile password change to standalone page,DONE,Profile page links to standalone update-password style page while preserving account password APIs,rg -n "profileChangePassword|ProfilePasswordView|Field.Code" apps/hook_frontend/src,2026-06-01 15:10:47 +0800,0,
5,Seed profile account API permissions,DONE,Default API definitions include account self-service APIs and bind them to dashboard_profile,rg -n "account_password_change|dashboard_profile" apps/hook_backend/src/migration/defaults,2026-06-01 15:10:47 +0800,0,
6,Run final validation,DONE,Frontend lint/build and backend check complete,pnpm lint:frontend && pnpm build:frontend && just check,2026-06-01 15:10:47 +0800,0,
7,Add standalone email verification,DONE,Profile shows verify-email button and standalone page consumes email code to mark account email verified,rg -n "profileVerifyEmail|verifyAccountEmail|account_verify_email" apps crates config,2026-06-01 15:35:41 +0800,0,
8,Mark email verified after email-code password change,DONE,Successful account password change sets email_verified true,cargo test -p user account_password_change_sets_local_password_after_email_code,2026-06-01 15:35:41 +0800,0,
9,Run email verification validation,DONE,Targeted user tests plus frontend lint/build and backend check pass,cargo test -p user account_ && pnpm lint:frontend && pnpm build:frontend && just check,2026-06-01 15:35:41 +0800,0,
10,Add mail-aware profile password mode,DONE,Profile password/verify-email UI and account API distinguish email-code mode from current-password mode based on mail readiness,cargo test -p user account_password_change,2026-06-01 15:49:05 +0800,
