id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Inspect contracts and UI patterns,DONE,"Affected frontend, backend, and i18n contracts are identified","rg -n \"GlobalModelResponse|usage_count|BillingGroupResponse|ModelManagementView\" apps/hook_frontend/src crates apps/hook_backend/src/migration/defaults/i18n",2026-05-13T15:58:00+08:00,0,"GlobalModelResponse already includes usage_count; groups and model provider endpoints exist; currency comes from system settings."
2,Implement UI behavior,DONE,"This row is only marked DONE after model table and detail modal are implemented","pnpm --filter hook_frontend lint",2026-05-13T16:13:00+08:00,0,"Added usage count column, detail action, provider hook, and model detail dialog with group-aware pricing."
3,Update i18n seeds,DONE,"New admin namespace keys exist in cn and en seed JSON","node -e \"JSON.parse(require('fs').readFileSync('apps/hook_backend/src/migration/defaults/i18n/admin.cn.json','utf8')); JSON.parse(require('fs').readFileSync('apps/hook_backend/src/migration/defaults/i18n/admin.en.json','utf8'))\"",2026-05-13T16:13:00+08:00,0,"Added models group pricing state copy to backend-controlled admin seeds."
4,Fix model timestamps and base-price semantics,DONE,"Global model timestamps are RFC3339 and user/admin model price entry points clearly indicate base pricing","cargo test -p storage model::record --lib && pnpm --filter hook_frontend lint",2026-05-13T17:00:00+08:00,0,"Added storage tests for RFC3339 model timestamps, replaced model timestamp serialization, changed model base-pricing wording across user/admin surfaces, and confirmed frontend lint passes."
5,Run validation,DONE,"Frontend build/lint and backend targeted tests pass, or failure is recorded with root cause","cargo test -p storage model::record --lib && pnpm --filter hook_frontend build",2026-05-13T17:02:00+08:00,0,"Targeted storage tests passed, frontend lint passed, and Next build passed. Build log still prints one Axios unauthorized message during static page data collection, but the process exits successfully."
6,Inspect user-side detail and group visibility contracts,DONE,"User model detail entry, user-side available group contract, and confidentiality boundary are identified","rg -n \"ModelDetailDrawer|useAvailableBillingGroups|available_groups|allowed_provider_ids\" apps/hook_frontend/src crates/group apps/hook_backend/src",2026-05-13T17:18:00+08:00,0,"Confirmed the user model page opened a drawer, `/api/groups/available` still exposed allowed_provider_ids, and user-side token/model pages only needed allowed_model_ids."
7,Implement user-side modal and group page,DONE,"User model directory uses a modal for model-only information, and price groups are exposed from a standalone dashboard page without provider bindings in the UI","pnpm --filter hook_frontend lint",2026-05-13T17:42:00+08:00,0,"Replaced the user model drawer with a modal, removed user-side group content from the modal, added `/dashboard/groups`, added default menu wiring, and titled the new page/menu as 价格分组."
8,Sanitize user-side available group API,DONE,"User-facing available group responses do not expose provider bindings","cargo test -p group --lib",2026-05-13T17:40:00+08:00,0,"`available_groups` now clears allowed_provider_ids before returning to user-side callers, with a regression test in the group crate."
9,Run validation,DONE,"Frontend build/lint and targeted backend checks pass, or failures are recorded with root cause","cargo test -p group --lib && cargo test -p backend default_role_menu_codes_exist && pnpm --filter hook_frontend build",2026-05-13T17:48:00+08:00,0,"Frontend lint passed, targeted group and backend default-menu tests passed, and Next build passed. Build still logs one Axios unauthorized line during static page data collection while exiting successfully."
10,Wire admin billing-group detail dialog,DONE,"Admin billing-group list exposes a details entry and opens a dialog with models plus providers","pnpm --filter hook_frontend lint",2026-05-13T18:08:00+08:00,0,"Wired the existing `BillingGroupDetailDialog` into admin billing-group management, added a dedicated details action, and preserved provider visibility for admins."
11,Run validation for admin group detail,DONE,"Frontend lint/build pass after the admin billing-group detail wiring","pnpm --filter hook_frontend build",2026-05-13T18:12:00+08:00,0,"Frontend lint passed after import-order fixes, frontend build passed, and the generated `next-env.d.ts` diff was reverted. Build still logs one Axios unauthorized line during static page generation while exiting successfully."
12,Inspect user model detail group-pricing tab scope,DONE,"User model detail modal and available-group data flow are re-checked against the new requirement","rg -n \"ModelDetailDialog|useAvailableBillingGroups|GlobalModelBillingGroupPricing\" apps/hook_frontend/src",2026-05-13T18:20:00+08:00,0,"Confirmed the user model detail modal can reuse the existing actual-pricing renderer with sanitized available-group data and no provider exposure."
13,Implement user model detail group-pricing tab,DONE,"User model detail modal exposes a group-pricing tab with actual prices and no provider information","pnpm --filter hook_frontend lint",2026-05-13T18:31:00+08:00,0,"Added the user-side price-group actual-pricing tab, enabled conditional available-group fetching for the dialog, and kept the user-facing title as `价格分组实际价格` without changing admin wording."
14,Run validation for user model detail group-pricing tab,DONE,"Frontend lint/build pass after the user detail tab wiring","pnpm --filter hook_frontend build",2026-05-13T18:38:00+08:00,0,"Frontend lint/build passed and i18n seed JSON parsing passed. Build still logs one Axios unauthorized line during static page generation while exiting successfully."
15,Inspect user price-group detail scope,DONE,"User price-group list/detail interaction and all-model summary behavior are re-checked against the new requirement","rg -n \"BillingGroupCatalogView|ModelAvailableBillingGroupsSection|allowed_model_ids.length === 0\" apps/hook_frontend/src/sections/models",2026-05-13T18:40:00+08:00,0,"Confirmed the current user price-group page only rendered summary cards, and that the all-model branch still surfaced concrete model chips in the user summary section."
16,Implement user price-group detail dialog and all-model summary fix,DONE,"User price groups are clickable, detail dialog shows bound models with base/actual pricing, and all-model summaries stop listing concrete model names","pnpm --filter hook_frontend lint",2026-05-13T18:52:00+08:00,0,"Added a user-side price-group detail dialog with model-level base and actual pricing, reused shared actual-pricing rendering, and changed the user summary cards so all-model groups show only `所有模型`. Admin-side summaries were left unchanged."
17,Run validation for user price-group detail dialog,DONE,"Frontend lint/build and translation JSON parsing pass after the user price-group detail changes","pnpm --filter hook_frontend build",2026-05-13T18:57:00+08:00,0,"Frontend lint passed, frontend build passed, and the generated `next-env.d.ts` diff was reverted again. Build still logs one Axios unauthorized line during static page generation while exiting successfully."
